Financial Year,Age Band,Diagnosis,Count,
2010/11,5-Sep,Ear/Nose/Throat Other,61,
2010/11,5-Sep,Seizures,52,
2010/11,5-Sep,Diarrhoea And/Or Vomiting,49,
2010/11,5-Sep,Paediatric Asthma,47,
2010/11,5-Sep,Other No Code Suitable,44,
2010/11,5-Sep,Foreign Body (Unspecified),42,
2010/11,5-Sep,Respiratory Other,39,
2010/11,5-Sep,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),37,
2010/11,5-Sep,Rash (Unspecified),33,
2010/11,60-64,Chest Pain (Not Pleuritic),575,
2010/11,60-64,Medical Admission Other,568,
2010/11,60-64,Limb Injury Other (Unspec.),285,
2010/11,60-64,Abdominal Pain (Unspecified),269,
2010/11,60-64,Wounds (Unspecified),222,
2010/11,60-64,Cardiology Other - Not Acute Myocardial Infarction,219,
2010/11,60-64,Fracture +/- Dislocation (Unspecified),161,
2010/11,60-64,Orthopaedic/Musculoskeletal Other,143,
2010/11,60-64,Respiratory Other,137,
2010/11,60-64,Other No Code Suitable,130,
2010/11,60-64,Back Pain (Non Specific),119,
2010/11,60-64,Collapse (Unspecified),100,
2010/11,60-64,Oncology Other,83,
2010/11,60-64,Psychiatric Other,79,
2010/11,60-64,Hand Injury (Unspecified),72,
2010/11,60-64,Headache (Migraine Or Unspec.),65,
2010/11,60-64,Diarrhoea And/Or Vomiting,63,
2010/11,60-64,Cellulitis,58,
2010/11,60-64,Febrile Illness (Unspecified),55,
2010/11,60-64,Chest Injury (Unspecified),55,
2010/11,65-69,Medical Admission Other,603,
2010/11,65-69,Chest Pain (Not Pleuritic),492,
2010/11,65-69,Abdominal Pain (Unspecified),269,
2010/11,65-69,Respiratory Other,256,
2010/11,65-69,Cardiology Other - Not Acute Myocardial Infarction,207,
2010/11,65-69,Limb Injury Other (Unspec.),196,
2010/11,65-69,Wounds (Unspecified),170,
2010/11,65-69,Fracture +/- Dislocation (Unspecified),129,
2010/11,65-69,Orthopaedic/Musculoskeletal Other,125,
2010/11,65-69,Collapse (Unspecified),125,
2010/11,65-69,Other No Code Suitable,109,
2010/11,65-69,Back Pain (Non Specific),105,
2010/11,65-69,Oncology Other,72,
2010/11,65-69,Copd/Coad,64,
2010/11,65-69,Headache (Migraine Or Unspec.),62,
2010/11,65-69,Diarrhoea And/Or Vomiting,56,
2010/11,65-69,Surgical,56,
2010/11,65-69,Hand Injury (Unspecified),54,
2010/11,65-69,Head Injury (Unspecified),47,
2010/11,65-69,Febrile Illness (Unspecified),44,
2010/11,70-74,Medical Admission Other,711,
2010/11,70-74,Chest Pain (Not Pleuritic),512,
2010/11,70-74,Cardiology Other - Not Acute Myocardial Infarction,295,
2010/11,70-74,Abdominal Pain (Unspecified),224,
2010/11,70-74,Limb Injury Other (Unspec.),190,
2010/11,70-74,Respiratory Other,175,
2010/11,70-74,Wounds (Unspecified),173,
2010/11,70-74,Fracture +/- Dislocation (Unspecified),138,
2010/11,70-74,Collapse (Unspecified),129,
2010/11,70-74,Orthopaedic/Musculoskeletal Other,120,
2010/11,70-74,Back Pain (Non Specific),81,
2010/11,70-74,Other No Code Suitable,80,
2010/11,70-74,Epistaxis,71,
2010/11,70-74,Oncology Other,67,
2010/11,70-74,Diarrhoea And/Or Vomiting,65,
2010/11,70-74,Copd/Coad,62,
2010/11,70-74,Febrile Illness (Unspecified),55,
2010/11,70-74,Headache (Migraine Or Unspec.),50,
2010/11,70-74,Cellulitis,48,
2010/11,70-74,Eye Problem Other,43,
2010/11,75-79,Medical Admission Other,919,
2010/11,75-79,Chest Pain (Not Pleuritic),530,
2010/11,75-79,Respiratory Other,256,
2010/11,75-79,Cardiology Other - Not Acute Myocardial Infarction,232,
2010/11,75-79,Abdominal Pain (Unspecified),214,
2010/11,75-79,Collapse (Unspecified),206,
2010/11,75-79,Limb Injury Other (Unspec.),199,
2010/11,75-79,Wounds (Unspecified),182,
2010/11,75-79,Fracture +/- Dislocation (Unspecified),165,
2010/11,75-79,Orthopaedic/Musculoskeletal Other,119,
2010/11,75-79,Back Pain (Non Specific),98,
2010/11,75-79,Diarrhoea And/Or Vomiting,79,
2010/11,75-79,Other No Code Suitable,74,
2010/11,75-79,Cerebrovascular Acc. (Stroke),72,
2010/11,75-79,Febrile Illness (Unspecified),56,
2010/11,75-79,Copd/Coad,56,
2010/11,75-79,Oncology Other,53,
2010/11,75-79,Cellulitis,48,
2010/11,75-79,Surgical,45,
2010/11,75-79,Headache (Migraine Or Unspec.),43,
2010/11,80-84,Medical Admission Other,1052,
2010/11,80-84,Chest Pain (Not Pleuritic),477,
2010/11,80-84,Collapse (Unspecified),261,
2010/11,80-84,Abdominal Pain (Unspecified),247,
2010/11,80-84,Limb Injury Other (Unspec.),240,
2010/11,80-84,Fracture +/- Dislocation (Unspecified),231,
2010/11,80-84,Wounds (Unspecified),216,
2010/11,80-84,Respiratory Other,209,
2010/11,80-84,Cardiology Other - Not Acute Myocardial Infarction,203,
2010/11,80-84,Orthopaedic/Musculoskeletal Other,137,
2010/11,80-84,Back Pain (Non Specific),118,
2010/11,80-84,Cerebrovascular Acc. (Stroke),91,
2010/11,80-84,Other No Code Suitable,90,
2010/11,80-84,Diarrhoea And/Or Vomiting,88,
2010/11,80-84,Febrile Illness (Unspecified),68,
2010/11,80-84,Head Injury (Unspecified),65,
2010/11,80-84,Superficial injuries,62,
2010/11,80-84,Urinay Tract Infection/Pyelonephritis,61,
2010/11,80-84,Cellulitis,56,
2010/11,80-84,Surgical,54,
2010/11,85-89,Medical Admission Other,881,
2010/11,85-89,Chest Pain (Not Pleuritic),348,
2010/11,85-89,Fracture +/- Dislocation (Unspecified),249,
2010/11,85-89,Limb Injury Other (Unspec.),228,
2010/11,85-89,Collapse (Unspecified),225,
2010/11,85-89,Wounds (Unspecified),209,
2010/11,85-89,Respiratory Other,179,
2010/11,85-89,Abdominal Pain (Unspecified),177,
2010/11,85-89,Cardiology Other - Not Acute Myocardial Infarction,135,
2010/11,85-89,Orthopaedic/Musculoskeletal Other,110,
2010/11,85-89,Cerebrovascular Acc. (Stroke),81,
2010/11,85-89,Back Pain (Non Specific),76,
2010/11,85-89,Other No Code Suitable,58,
2010/11,85-89,Diarrhoea And/Or Vomiting,55,
2010/11,85-89,Superficial injuries,54,
2010/11,85-89,Urinay Tract Infection/Pyelonephritis,48,
2010/11,85-89,Head Injury (Unspecified),47,
2010/11,85-89,Febrile Illness (Unspecified),47,
2010/11,85-89,Cellulitis,42,
2010/11,85-89,Gi Bleed (Haematemisis/Pr Bleed),36,
2010/11,90-94,Medical Admission Other,392,
2010/11,90-94,Fracture +/- Dislocation (Unspecified),148,
2010/11,90-94,Wounds (Unspecified),121,
2010/11,90-94,Limb Injury Other (Unspec.),102,
2010/11,90-94,Chest Pain (Not Pleuritic),81,
2010/11,90-94,Collapse (Unspecified),77,
2010/11,90-94,Respiratory Other,72,
2010/11,90-94,Abdominal Pain (Unspecified),57,
2010/11,90-94,Orthopaedic/Musculoskeletal Other,54,
2010/11,90-94,Superficial injuries,43,
2010/11,90-94,Cardiology Other - Not Acute Myocardial Infarction,38,
2010/11,90-94,Head Injury (Unspecified),32,
2010/11,90-94,Back Pain (Non Specific),30,
2010/11,90-94,Diarrhoea And/Or Vomiting,26,
2010/11,90-94,Urinay Tract Infection/Pyelonephritis,23,
2010/11,90-94,Febrile Illness (Unspecified),19,
2010/11,90-94,Cellulitis,18,
2010/11,90-94,Pneumonia That Is X-Ray Proven,18,
2010/11,90-94,Cerebrovascular Acc. (Stroke),17,
2010/11,90-94,Epistaxis,17,
2010/11,95-99,Medical Admission Other,79,
2010/11,95-99,Fracture +/- Dislocation (Unspecified),42,
2010/11,95-99,Wounds (Unspecified),40,
2010/11,95-99,Limb Injury Other (Unspec.),23,
2010/11,95-99,Chest Pain (Not Pleuritic),19,
2010/11,95-99,Orthopaedic/Musculoskeletal Other,16,
2010/11,95-99,Collapse (Unspecified),12,
2010/11,95-99,Respiratory Other,10,
2010/11,95-99,Superficial injuries,9,
2010/11,95-99,Diarrhoea And/Or Vomiting,7,
2010/11,95-99,Cellulitis,7,
2010/11,95-99,Cerebrovascular Acc. (Stroke),7,
2010/11,95-99,Cardiology Other - Not Acute Myocardial Infarction,7,
2010/11,95-99,Head Injury (Unspecified),6,
2010/11,95-99,Abdominal Pain (Unspecified),6,
2010/11,95-99,Gi Bleed (Haematemisis/Pr Bleed),5,
2010/11,95-99,Chest Injury (Unspecified),4,
2010/11,95-99,Back Pain (Non Specific),4,
2010/11,95-99,Urinay Tract Infection/Pyelonephritis,4,
2010/11,95-99,Febrile Illness (Unspecified),4,
2011/12,0-4,Paediatric Other,2535,
2011/12,0-4,Febrile Illness (Unspecified),751,
2011/12,0-4,Wounds (Unspecified),544,
2011/12,0-4,Limb Injury Other (Unspec.),345,
2011/12,0-4,Diarrhoea And/Or Vomiting,343,
2011/12,0-4,Paed Acute Resp Illness-Not Asthma/Croup/Pneumonia,325,
2011/12,0-4,Medical Admission Other,319,
2011/12,0-4,Paediatric Febrile Illness (Unspecified),233,
2011/12,0-4,Head Injury (Unspecified),231,
2011/12,0-4,Rash (Unspecified),230,
2011/12,0-4,Acute Resp Illness - Not Asthma/Copd/Pneumonia,182,
2011/12,0-4,Fracture +/- Dislocation (Unspecified),175,
2011/12,0-4,Asthma,163,
2011/12,0-4,Respiratory Other,158,
2011/12,0-4,Paediatric Asthma,136,
2011/12,0-4,Abdominal Pain (Unspecified),116,
2011/12,0-4,Orthopaedic/Musculoskeletal Other,113,
2011/12,0-4,Croup (Paediatrics),109,
2011/12,0-4,Hand Injury (Unspecified),103,
2011/12,0-4,Seizures,95,
2011/12,100+,Fracture +/- Dislocation (Unspecified),5,
2011/12,100+,Collapse (Unspecified),3,
2011/12,100+,Epistaxis,3,
2011/12,100+,Medical Admission Other,2,
2011/12,100+,Wounds (Unspecified),1,
2011/12,100+,Cardiology Other - Not Acute Myocardial Infarction,1,
2011/12,100+,Superficial injuries,1,
2011/12,100+,Orthopaedic/Musculoskeletal Other,1,
2011/12,100+,Hypothermia,1,
2011/12,100+,Back Pain (Non Specific),1,
2011/12,100+,Limb Injury Other (Unspec.),1,
2011/12,100+,Pneumonia That Is X-Ray Proven,1,
2011/12,100+,Eye Problem Other,1,
2011/12,100+,Abdominal Pain (Unspecified),1,
2011/12,100+,Febrile Illness (Unspecified),1,
2011/12,100+,Genitourinary Other,1,
2011/12,Oct-14,Limb Injury Other (Unspec.),1003,
2011/12,Oct-14,Fracture +/- Dislocation (Unspecified),500,
2011/12,Oct-14,Orthopaedic/Musculoskeletal Other,378,
2011/12,Oct-14,Hand Injury (Unspecified),370,
2011/12,Oct-14,Wounds (Unspecified),356,
2011/12,Oct-14,Paediatric Other,347,
2011/12,Oct-14,Abdominal Pain (Unspecified),334,
2011/12,Oct-14,Head Injury (Unspecified),144,
2011/12,Oct-14,Medical Admission Other,107,
2011/12,Oct-14,Superficial injuries,92,
2011/12,Oct-14,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),80,
2011/12,Oct-14,Back Pain (Non Specific),63,
2011/12,Oct-14,Psychiatric Other,63,
2011/12,Oct-14,Asthma,44,
2011/12,Oct-14,Facial Trauma (Unspecified),44,
2011/12,Oct-14,Ear/Nose/Throat Other,44,
2011/12,Oct-14,Headache (Migraine Or Unspec.),42,
2011/12,Oct-14,Seizures,42,
2011/12,Oct-14,Febrile Illness (Unspecified),39,
2011/12,Oct-14,Diarrhoea And/Or Vomiting,35,
2011/12,15-19,Limb Injury Other (Unspec.),1095,
2011/12,15-19,Wounds (Unspecified),818,
2011/12,15-19,Abdominal Pain (Unspecified),667,
2011/12,15-19,Fracture +/- Dislocation (Unspecified),477,
2011/12,15-19,Hand Injury (Unspecified),413,
2011/12,15-19,Psychiatric Other,376,
2011/12,15-19,Orthopaedic/Musculoskeletal Other,366,
2011/12,15-19,Medical Admission Other,352,
2011/12,15-19,Head Injury (Unspecified),255,
2011/12,15-19,Toxicology Other - Not Drug Abuse/Accid Overdose,171,
2011/12,15-19,Suspected Alcohol/Recreational Drug Involvement,148,
2011/12,15-19,Back Pain (Non Specific),139,
2011/12,15-19,Superficial injuries,134,
2011/12,15-19,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),133,
2011/12,15-19,Ear/Nose/Throat Other,128,
2011/12,15-19,Facial Trauma (Unspecified),120,
2011/12,15-19,Headache (Migraine Or Unspec.),110,
2011/12,15-19,Deliberate Self Poisoning (Unspecified),99,
2011/12,15-19,Chest Injury (Unspecified),85,
2011/12,15-19,Asthma,83,
2011/12,20-24,Limb Injury Other (Unspec.),1127,
2011/12,20-24,Wounds (Unspecified),991,
2011/12,20-24,Abdominal Pain (Unspecified),833,
2011/12,20-24,Medical Admission Other,530,
2011/12,20-24,Hand Injury (Unspecified),482,
2011/12,20-24,Fracture +/- Dislocation (Unspecified),473,
2011/12,20-24,Orthopaedic/Musculoskeletal Other,420,
2011/12,20-24,Psychiatric Other,419,
2011/12,20-24,Head Injury (Unspecified),254,
2011/12,20-24,Back Pain (Non Specific),212,
2011/12,20-24,Headache (Migraine Or Unspec.),159,
2011/12,20-24,Toxicology Other - Not Drug Abuse/Accid Overdose,149,
2011/12,20-24,Facial Trauma (Unspecified),148,
2011/12,20-24,Gynaecology Other,147,
2011/12,20-24,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),144,
2011/12,20-24,Chest Pain (Not Pleuritic),142,
2011/12,20-24,Suspected Alcohol/Recreational Drug Involvement,139,
2011/12,20-24,Superficial injuries,135,
2011/12,20-24,Ear/Nose/Throat Other,113,
2011/12,20-24,Per Vaginal Bleeding,113,
2011/12,25-29,Limb Injury Other (Unspec.),685,
2011/12,25-29,Wounds (Unspecified),627,
2011/12,25-29,Abdominal Pain (Unspecified),598,
2011/12,25-29,Medical Admission Other,383,
2011/12,25-29,Hand Injury (Unspecified),282,
2011/12,25-29,Orthopaedic/Musculoskeletal Other,276,
2011/12,25-29,Fracture +/- Dislocation (Unspecified),269,
2011/12,25-29,Psychiatric Other,243,
2011/12,25-29,Back Pain (Non Specific),174,
2011/12,25-29,Headache (Migraine Or Unspec.),144,
2011/12,25-29,Head Injury (Unspecified),124,
2011/12,25-29,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),118,
2011/12,25-29,Chest Pain (Not Pleuritic),112,
2011/12,25-29,Per Vaginal Bleeding,106,
2011/12,25-29,Gynaecology Other,99,
2011/12,25-29,Facial Trauma (Unspecified),89,
2011/12,25-29,Toxicology Other - Not Drug Abuse/Accid Overdose,77,
2011/12,25-29,Superficial injuries,75,
2011/12,25-29,Diarrhoea And/Or Vomiting,73,
2011/12,25-29,Ear/Nose/Throat Other,70,
2011/12,30-34,Limb Injury Other (Unspec.),498,
2011/12,30-34,Abdominal Pain (Unspecified),423,
2011/12,30-34,Wounds (Unspecified),408,
2011/12,30-34,Medical Admission Other,305,
2011/12,30-34,Fracture +/- Dislocation (Unspecified),226,
2011/12,30-34,Psychiatric Other,203,
2011/12,30-34,Orthopaedic/Musculoskeletal Other,190,
2011/12,30-34,Hand Injury (Unspecified),180,
2011/12,30-34,Back Pain (Non Specific),163,
2011/12,30-34,Chest Pain (Not Pleuritic),94,
2011/12,30-34,Headache (Migraine Or Unspec.),91,
2011/12,30-34,Head Injury (Unspecified),82,
2011/12,30-34,Per Vaginal Bleeding,80,
2011/12,30-34,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),77,
2011/12,30-34,Gynaecology Other,74,
2011/12,30-34,Toxicology Other - Not Drug Abuse/Accid Overdose,67,
2011/12,30-34,Ear/Nose/Throat Other,65,
2011/12,30-34,Diarrhoea And/Or Vomiting,60,
2011/12,30-34,Superficial injuries,60,
2011/12,30-34,Chest Injury (Unspecified),53,
2011/12,35-39,Limb Injury Other (Unspec.),492,
2011/12,35-39,Abdominal Pain (Unspecified),417,
2011/12,35-39,Wounds (Unspecified),391,
2011/12,35-39,Medical Admission Other,344,
2011/12,35-39,Orthopaedic/Musculoskeletal Other,216,
2011/12,35-39,Fracture +/- Dislocation (Unspecified),196,
2011/12,35-39,Psychiatric Other,186,
2011/12,35-39,Hand Injury (Unspecified),180,
2011/12,35-39,Back Pain (Non Specific),152,
2011/12,35-39,Chest Pain (Not Pleuritic),140,
2011/12,35-39,Headache (Migraine Or Unspec.),125,
2011/12,35-39,Head Injury (Unspecified),86,
2011/12,35-39,Toxicology Other - Not Drug Abuse/Accid Overdose,85,
2011/12,35-39,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),80,
2011/12,35-39,Asthma,70,
2011/12,35-39,Ear/Nose/Throat Other,68,
2011/12,35-39,Surgical,67,
2011/12,35-39,Cardiology Other - Not Acute Myocardial Infarction,62,
2011/12,35-39,Chest Injury (Unspecified),61,
2011/12,35-39,Gynaecology Other,54,
2011/12,40-44,Limb Injury Other (Unspec.),527,
2011/12,40-44,Abdominal Pain (Unspecified),493,
2011/12,40-44,Medical Admission Other,426,
2011/12,40-44,Wounds (Unspecified),419,
2011/12,40-44,Psychiatric Other,311,
2011/12,40-44,Chest Pain (Not Pleuritic),231,
2011/12,40-44,Orthopaedic/Musculoskeletal Other,220,
2011/12,40-44,Fracture +/- Dislocation (Unspecified),212,
2011/12,40-44,Hand Injury (Unspecified),202,
2011/12,40-44,Back Pain (Non Specific),197,
2011/12,40-44,Headache (Migraine Or Unspec.),144,
2011/12,40-44,Toxicology Other - Not Drug Abuse/Accid Overdose,104,
2011/12,40-44,Head Injury (Unspecified),91,
2011/12,40-44,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),87,
2011/12,40-44,Cardiology Other - Not Acute Myocardial Infarction,86,
2011/12,40-44,Eye Problem Other,76,
2011/12,40-44,Chest Injury (Unspecified),66,
2011/12,40-44,Seizures,66,
2011/12,40-44,Ear/Nose/Throat Other,64,
2011/12,40-44,Surgical,63,
2011/12,45-49,Limb Injury Other (Unspec.),481,
2011/12,45-49,Medical Admission Other,451,
2011/12,45-49,Abdominal Pain (Unspecified),436,
2011/12,45-49,Wounds (Unspecified),359,
2011/12,45-49,Chest Pain (Not Pleuritic),329,
2011/12,45-49,Orthopaedic/Musculoskeletal Other,240,
2011/12,45-49,Psychiatric Other,215,
2011/12,45-49,Back Pain (Non Specific),204,
2011/12,45-49,Fracture +/- Dislocation (Unspecified),202,
2011/12,45-49,Hand Injury (Unspecified),156,
2011/12,45-49,Cardiology Other - Not Acute Myocardial Infarction,124,
2011/12,45-49,Headache (Migraine Or Unspec.),108,
2011/12,45-49,Head Injury (Unspecified),95,
2011/12,45-49,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),83,
2011/12,45-49,Chest Injury (Unspecified),73,
2011/12,45-49,Seizures,64,
2011/12,45-49,Toxicology Other - Not Drug Abuse/Accid Overdose,62,
2011/12,45-49,Respiratory Other,61,
2011/12,45-49,Foreign Body (Unspecified),60,
2011/12,45-49,Eye Problem Other,59,
2011/12,50-54,Medical Admission Other,487,
2011/12,50-54,Limb Injury Other (Unspec.),446,
2011/12,50-54,Chest Pain (Not Pleuritic),440,
2011/12,50-54,Wounds (Unspecified),375,
2011/12,50-54,Abdominal Pain (Unspecified),340,
2011/12,50-54,Orthopaedic/Musculoskeletal Other,225,
2011/12,50-54,Fracture +/- Dislocation (Unspecified),212,
2011/12,50-54,Cardiology Other - Not Acute Myocardial Infarction,183,
2011/12,50-54,Back Pain (Non Specific),174,
2011/12,50-54,Psychiatric Other,174,
2011/12,50-54,Hand Injury (Unspecified),143,
2011/12,50-54,Eye Problem Other,93,
2011/12,50-54,Headache (Migraine Or Unspec.),86,
2011/12,50-54,Respiratory Other,83,
2011/12,50-54,Collapse (Unspecified),73,
2011/12,50-54,Foreign Body (Unspecified),69,
2011/12,50-54,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),68,
2011/12,50-54,Seizures,66,
2011/12,50-54,Chest Injury (Unspecified),65,
2011/12,50-54,Head Injury (Unspecified),64,
2011/12,55-59,Chest Pain (Not Pleuritic),488,
2011/12,55-59,Medical Admission Other,483,
2011/12,55-59,Limb Injury Other (Unspec.),351,
2011/12,55-59,Abdominal Pain (Unspecified),339,
2011/12,55-59,Wounds (Unspecified),249,
2011/12,55-59,Fracture +/- Dislocation (Unspecified),197,
2011/12,55-59,Cardiology Other - Not Acute Myocardial Infarction,181,
2011/12,55-59,Orthopaedic/Musculoskeletal Other,159,
2011/12,55-59,Back Pain (Non Specific),139,
2011/12,55-59,Respiratory Other,138,
2011/12,55-59,Hand Injury (Unspecified),118,
2011/12,55-59,Psychiatric Other,114,
2011/12,55-59,Headache (Migraine Or Unspec.),84,
2011/12,55-59,Collapse (Unspecified),82,
2011/12,55-59,Oncology Other,79,
2011/12,55-59,Eye Problem Other,67,
2011/12,55-59,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),62,
2011/12,55-59,Head Injury (Unspecified),60,
2011/12,55-59,Copd/Coad,58,
2011/12,55-59,Surgical,52,
2011/12,5-Sep,Limb Injury Other (Unspec.),500,
2011/12,5-Sep,Paediatric Other,413,
2011/12,5-Sep,Wounds (Unspecified),382,
2011/12,5-Sep,Fracture +/- Dislocation (Unspecified),360,
2011/12,5-Sep,Abdominal Pain (Unspecified),244,
2011/12,5-Sep,Orthopaedic/Musculoskeletal Other,166,
2011/12,5-Sep,Hand Injury (Unspecified),148,
2011/12,5-Sep,Head Injury (Unspecified),139,
2011/12,5-Sep,Febrile Illness (Unspecified),119,
2011/12,5-Sep,Asthma,98,
2011/12,5-Sep,Medical Admission Other,68,
2011/12,5-Sep,Ear/Nose/Throat Other,60,
2011/12,5-Sep,Rash (Unspecified),58,
2011/12,5-Sep,Paediatric Asthma,56,
2011/12,5-Sep,Foreign Body (Unspecified),55,
2011/12,5-Sep,Diarrhoea And/Or Vomiting,53,
2011/12,5-Sep,Seizures,45,
2011/12,5-Sep,Headache (Migraine Or Unspec.),39,
2011/12,5-Sep,Dental Other (Not Toothache),39,
2011/12,5-Sep,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),36,
2011/12,60-64,Medical Admission Other,500,
2011/12,60-64,Chest Pain (Not Pleuritic),496,
2011/12,60-64,Abdominal Pain (Unspecified),289,
2011/12,60-64,Limb Injury Other (Unspec.),271,
2011/12,60-64,Cardiology Other - Not Acute Myocardial Infarction,231,
2011/12,60-64,Wounds (Unspecified),209,
2011/12,60-64,Fracture +/- Dislocation (Unspecified),172,
2011/12,60-64,Respiratory Other,147,
2011/12,60-64,Orthopaedic/Musculoskeletal Other,143,
2011/12,60-64,Collapse (Unspecified),91,
2011/12,60-64,Back Pain (Non Specific),89,
2011/12,60-64,Hand Injury (Unspecified),84,
2011/12,60-64,Diarrhoea And/Or Vomiting,70,
2011/12,60-64,Headache (Migraine Or Unspec.),66,
2011/12,60-64,Oncology Other,63,
2011/12,60-64,Head Injury (Unspecified),63,
2011/12,60-64,Psychiatric Other,62,
2011/12,60-64,Surgical,57,
2011/12,60-64,Eye Problem Other,56,
2011/12,60-64,Neurology/Neurosurgery Other,46,
2011/12,65-69,Medical Admission Other,518,
2011/12,65-69,Chest Pain (Not Pleuritic),391,
2011/12,65-69,Abdominal Pain (Unspecified),256,
2011/12,65-69,Cardiology Other - Not Acute Myocardial Infarction,238,
2011/12,65-69,Limb Injury Other (Unspec.),223,
2011/12,65-69,Respiratory Other,189,
2011/12,65-69,Wounds (Unspecified),166,
2011/12,65-69,Fracture +/- Dislocation (Unspecified),150,
2011/12,65-69,Orthopaedic/Musculoskeletal Other,135,
2011/12,65-69,Collapse (Unspecified),107,
2011/12,65-69,Back Pain (Non Specific),94,
2011/12,65-69,Oncology Other,93,
2011/12,65-69,Copd/Coad,64,
2011/12,65-69,Diarrhoea And/Or Vomiting,61,
2011/12,65-69,Hand Injury (Unspecified),59,
2011/12,65-69,Chest Injury (Unspecified),53,
2011/12,65-69,Febrile Illness (Unspecified),48,
2011/12,65-69,Head Injury (Unspecified),46,
2011/12,65-69,Neurology/Neurosurgery Other,45,
2011/12,65-69,Headache (Migraine Or Unspec.),44,
2011/12,70-74,Medical Admission Other,629,
2011/12,70-74,Chest Pain (Not Pleuritic),463,
2011/12,70-74,Cardiology Other - Not Acute Myocardial Infarction,284,
2011/12,70-74,Abdominal Pain (Unspecified),251,
2011/12,70-74,Respiratory Other,183,
2011/12,70-74,Limb Injury Other (Unspec.),176,
2011/12,70-74,Wounds (Unspecified),158,
2011/12,70-74,Collapse (Unspecified),142,
2011/12,70-74,Fracture +/- Dislocation (Unspecified),137,
2011/12,70-74,Orthopaedic/Musculoskeletal Other,122,
2011/12,70-74,Oncology Other,83,
2011/12,70-74,Back Pain (Non Specific),74,
2011/12,70-74,Diarrhoea And/Or Vomiting,67,
2011/12,70-74,Febrile Illness (Unspecified),58,
2011/12,70-74,Surgical,54,
2011/12,70-74,Epistaxis,47,
2011/12,70-74,Headache (Migraine Or Unspec.),47,
2011/12,70-74,Hand Injury (Unspecified),47,
2011/12,70-74,Copd/Coad,46,
2011/12,70-74,Cellulitis,45,
2011/12,75-79,Medical Admission Other,689,
2011/12,75-79,Chest Pain (Not Pleuritic),401,
2011/12,75-79,Cardiology Other - Not Acute Myocardial Infarction,264,
2011/12,75-79,Abdominal Pain (Unspecified),215,
2011/12,75-79,Collapse (Unspecified),213,
2011/12,75-79,Wounds (Unspecified),204,
2011/12,75-79,Respiratory Other,201,
2011/12,75-79,Limb Injury Other (Unspec.),186,
2011/12,75-79,Fracture +/- Dislocation (Unspecified),178,
2011/12,75-79,Orthopaedic/Musculoskeletal Other,129,
2011/12,75-79,Back Pain (Non Specific),85,
2011/12,75-79,Diarrhoea And/Or Vomiting,79,
2011/12,75-79,Surgical,59,
2011/12,75-79,Febrile Illness (Unspecified),58,
2011/12,75-79,Chest Injury (Unspecified),52,
2011/12,75-79,Head Injury (Unspecified),51,
2011/12,75-79,Oncology Other,51,
2011/12,75-79,Epistaxis,47,
2011/12,75-79,Urinary Retention,43,
2011/12,75-79,Urinay Tract Infection/Pyelonephritis,43,
2011/12,80-84,Medical Admission Other,895,
2011/12,80-84,Chest Pain (Not Pleuritic),441,
2011/12,80-84,Fracture +/- Dislocation (Unspecified),243,
2011/12,80-84,Collapse (Unspecified),236,
2011/12,80-84,Cardiology Other - Not Acute Myocardial Infarction,219,
2011/12,80-84,Wounds (Unspecified),219,
2011/12,80-84,Abdominal Pain (Unspecified),216,
2011/12,80-84,Limb Injury Other (Unspec.),214,
2011/12,80-84,Respiratory Other,164,
2011/12,80-84,Orthopaedic/Musculoskeletal Other,137,
2011/12,80-84,Back Pain (Non Specific),84,
2011/12,80-84,Febrile Illness (Unspecified),73,
2011/12,80-84,Diarrhoea And/Or Vomiting,72,
2011/12,80-84,Head Injury (Unspecified),58,
2011/12,80-84,Superficial injuries,55,
2011/12,80-84,Gi Bleed (Haematemisis/Pr Bleed),48,
2011/12,80-84,Surgical,47,
2011/12,80-84,Confusion/Delirium (Cause Unknown),46,
2011/12,80-84,Copd/Coad,45,
2011/12,80-84,Urinay Tract Infection/Pyelonephritis,42,
2011/12,85-89,Medical Admission Other,777,
2011/12,85-89,Chest Pain (Not Pleuritic),309,
2011/12,85-89,Fracture +/- Dislocation (Unspecified),250,
2011/12,85-89,Wounds (Unspecified),224,
2011/12,85-89,Collapse (Unspecified),217,
2011/12,85-89,Abdominal Pain (Unspecified),175,
2011/12,85-89,Limb Injury Other (Unspec.),175,
2011/12,85-89,Cardiology Other - Not Acute Myocardial Infarction,167,
2011/12,85-89,Respiratory Other,136,
2011/12,85-89,Orthopaedic/Musculoskeletal Other,121,
2011/12,85-89,Back Pain (Non Specific),74,
2011/12,85-89,Superficial injuries,63,
2011/12,85-89,Febrile Illness (Unspecified),61,
